fdc_id,description
323469,kale - nfy1212dq
323470,kale - nfy1212e0
323471,kale - nfy1212dr
323472,"kale, fresh, unprepared - az"
323476,kale - nfy1212cy
323482,kale - nfy1212cz
323483,kale - nfy1212d0
323484,kale - nfy1212d1
323485,kale - nfy1212d2
323486,kale - nfy1212cs
323487,kale - nfy1212d3
323488,kale - nfy1212ct
323489,"kale, fresh, unprepared - ca2"
323493,kale - nfy1212es
323498,kale - nfy1212eu
323499,kale - nfy1212ev
323500,kale - nfy1212ew
323501,kale - nfy1212em
323502,kale - nfy1212ex
323503,kale - nfy1212en
323504,"kale, fresh, unprepared - ga"
323505,"kale, raw"
323506,"egg, liquid whole, producer c"
323507,"liquid whole egg (plain, no salt or sugar)"
323508,whole eggs
323513,"egg, liquid whole, producer d"
323548,"egg, liquid whole, producer a"
323562,"egg, liquid whole, producer f"
323569,"egg, liquid whole, producer b"
323604,"egg, whole, raw"
323605,"egg, liquid white, producer d"
323606,liquid egg white (without whipping agents)
323607,egg whites
323622,"egg, liquid white, producer c"
323627,"egg, liquid white, producer e"
323646,"egg, liquid white, producer a"
323663,"egg, liquid white, producer f"
323674,"egg, liquid white, producer b"
323697,"egg, white, raw"
323698,"egg, dried white stabilized, producer c"
323699,dried stabilized egg white
323700,egg whites dried
323702,"egg whites, dried"
323705,"egg, dried white stabilized, producer e"
323736,"egg, dried white stabilized, producer d"
323748,"egg, dried white stabilized, producer b"
323774,"egg, dried white stabilized, producer a"
323793,"egg, white, dried"
323794,"salsa, tostitos chunky - medium"
323799,salsa
323841,"salsa, pace chunky - medium"
323887,"salsa, tostitos chunky, medium (fl,mo) - cy0914l"
323888,"salsa, tostitos chunky, medium (fl1) - nfy090kll"
323889,"salsa, tostitos chunky, medium (mo1) - nfy090km8"
323890,"salsa, tostitos chunky, medium (fl1) - nfy090klm"
323891,"salsa, tostitos chunky, medium (mo1) - nfy090km9"
323892,"minerals, salsa, tostitos chunky"
323893,"proximates, salsa, tostitos chunky"
323894,"sugars, salsa, tostitos chunky"
323895,"tdf, salsa, tostitos chunky"
323896,"salsa, tostitos chunky, medium (co,ct) - cy0914k"
323897,"salsa, tostitos chunky, medium (ct1) - nfy090kj7"
323898,"salsa, tostitos chunky, medium (co1) - nfy090kmc"
323899,"salsa, tostitos chunky, medium (ct1) - nfy090kj6"
323900,"salsa, tostitos chunky, medium (co1) - nfy090kmd"
323905,"salsa, tostitos chunky, medium (al,ca1) - cy0914i"
323906,"salsa, tostitos chunky, medium (al1) - nfy090kj8"
323907,"salsa, tostitos chunky, medium (ca1) - nfy090kti"
323908,"salsa, tostitos chunky, medium (al1) - nfy090kj9"
323909,"salsa, tostitos chunky, medium (ca1) - nfy090kth"
323914,"salsa, tostitos chunky, medium (in,ny) - cy0914h"
323915,"salsa, tostitos chunky, medium (in1) - nfy090khg"
323916,"salsa, tostitos chunky, medium (ny1) - nfy090kj4"
323917,"salsa, tostitos chunky, medium (in1) - nfy090khf"
323918,"salsa, tostitos chunky, medium (ny1) - nfy090kj5"
323919,"vitamin k, salsa, tostitos chunky"
323921,"niacin, salsa, tostitos chunky"
323923,"pantothenic acid, salsa, tostitos chunky"
323925,"thiamin, salsa, tostitos chunky"
323926,"vitamin b6, salsa, tostitos chunky"
323928,"starch, salsa, tostitos chunky"
323929,"tocopherols, salsa, tostitos chunky"
323930,"carotenoids, salsa, tostitos chunky"
323931,"salsa, tostitos chunky, medium (ca2,nc) - cy0914j"
323932,"salsa, tostitos chunky, medium (nc1) - nfy090kja"
323933,"salsa, tostitos chunky, medium (ca2) - nfy090ko7"
323934,"salsa, tostitos chunky, medium (nc1) - nfy090kjb"
323935,"salsa, tostitos chunky, medium (ca2) - nfy090ko6"
323947,"salsa, tostitos chunky, medium (mi,ok) - cy0914m"
323948,"salsa, tostitos chunky, medium (mi1) - nfy090klo"
323949,"salsa, tostitos chunky, medium (ok1) - nfy090kmb"
323950,"salsa, tostitos chunky, medium (mi1) - nfy090kln"
323951,"salsa, tostitos chunky, medium (ok1) - nfy090kma"
323963,"salsa, pace chunky, medium (al,ca1) - cy0914o"
323964,"salsa, pace chunky, medium (ca1) - nfy090ktf"
323965,"salsa, pace chunky, medium (al1) - nfy090kiw"
323966,"salsa, pace chunky, medium (ca1) - nfy090ktg"
323967,"salsa, pace chunky, medium (al1) - nfy090kix"
323968,"minerals, salsa, pace chunky"
323969,"proximates, salsa, pace chunky"
323970,"sugars, salsa, pace chunky"
323971,"tdf, salsa, pace chunky"
323972,"salsa, pace chunky, medium (in,ny) - cy0914n"
323973,"salsa, pace chunky, medium (in1) - nfy090khd"
323974,"salsa, pace chunky, medium (ny1) - nfy090kj0"
323975,"salsa, pace chunky, medium (ny1) - nfy090kj1"
323976,"vitamin k, salsa, pace chunky"
323978,"niacin, salsa, pace chunky"
323980,"pantothenic acid, salsa, pace chunky"
323982,"thiamin, salsa, pace chunky"
323983,"vitamin b6, salsa, pace chunky"
323985,"carotenoids, salsa, pace chunky"
323986,"tocopherols, salsa, pace chunky"
323987,"starch, salsa, pace chunky"
323988,"salsa, pace chunky, medium (ca2,nc) - cy0914p"
323989,"salsa, pace chunky, medium (nc1) - nfy090kiy"
323990,"salsa, pace chunky, medium (nc1) - nfy090kiz"
323991,"salsa, pace chunky, medium (ca2) - nfy090ko4"
323992,"salsa, pace chunky, medium (ca2) - nfy090ko5"
324003,"salsa, pace chunky, medium (co,ct) - cy0914q"
324004,"salsa, pace chunky, medium (ct1) - nfy090kj3"
324005,"salsa, pace chunky, medium (co1) - nfy090kmf"
324006,"salsa, pace chunky, medium (ct1) - nfy090kj2"
324007,"salsa, pace chunky, medium (co1) - nfy090kme"
324012,"salsa, pace chunky, medium (fl,mo) - cy0914r"
324013,"salsa, pace chunky, medium (fl1) - nfy090klj"
324014,"salsa, pace chunky, medium (mo1) - nfy090kmi"
324015,"salsa, pace chunky, medium (fl1) - nfy090klk"
324016,"salsa, pace chunky, medium (mo1) - nfy090kmj"
324021,"salsa, pace chunky, medium (mi,ok) - cy0914s"
324022,"salsa, pace chunky, medium (mi1) - nfy090klh"
324023,"salsa, pace chunky, medium (ok1) - nfy090kmg"
324024,"salsa, pace chunky, medium (mi1) - nfy090kli"
324025,"salsa, pace chunky, medium (ok1) - nfy090kmh"
324038,"sauce, salsa, ready-to-serve"
324039,"beef breakfast sausage, banquet brown n serve sausage links"
324053,"beef breakfast sausage, eckrich sausage links"
324135,"beef breakfast sausage, banquet brown n serve sausage links, maple flavor"
324157,"sausage, breakfast sausage, beef"
324158,"onion rings, frozen, oven-heated"
324159,"alexia, onion rings, frozen (ca2) - nfy1206ro"
324160,"alexia, onion rings, frozen (nc1) - nfy12054t"
324161,"alexia, onion rings, frozen (ca2) - nfy1206rp"
324162,"alexia, onion rings, frozen (nc1) - nfy12054u"
324163,"minerals, onion rings, frozen"
324164,"proximates, onion rings, frozen"
324166,"southern meats, onion rings, frozen (al 1) - nfy1206rg"
324167,"kroger, onion rings, frozen (mi1) - nfy1206rs"
324171,"ore-ida, onion rings, frozen (ca2) - nfy1206ra"
324172,"ore-ida, onion rings, frozen (nc1) - nfy12054y"
324173,"ore-ida, onion rings, frozen (ca2) - nfy1206r9"
324174,"ore-ida, onion rings, frozen (nc1) - nfy12054x"
324178,"alexia, onion rings, frozen (mo1) - nfy1206rz"
324179,"alexia, onion rings, frozen (fl) - nfy1206rd"
324180,"alexia, onion rings, frozen (fl) - nfy1206rc"
324181,"alexia, onion rings, frozen (mo1) - nfy1206s0"
324182,"tocopherols, onion rings, frozen"
324183,"folate, onion rings, frozen"
324185,"niacin, onion rings, frozen"
324186,"riboflavin, onion rings, frozen"
324187,"selenium, onion rings, frozen"
324188,"sugars, onion rings, frozen"
324189,"fatty acids, onion rings, frozen"
324191,"starch, onion rings, frozen"
324192,"tdf, onion rings, frozen"
324193,"thiamin, onion rings, frozen"
324194,"vitamin b6, onion rings, frozen"
324196,"ore-ida, onion rings, frozen (ca1) - nfy1206r7"
324197,"ore-ida, onion rings, frozen (ct1) - nfy1206ri"
324198,"ore-ida, onion rings, frozen (ct1) - nfy1206rj"
324199,"ore-ida, onion rings, frozen (ca1) - nfy1206r5"
324207,"vitamin c, onion rings, frozen"
