id,fdc_id,nutrient_id,amount
2230662,323902,1051,89.4
2230681,323911,1004,0.1
2230682,323911,1051,89.0
2230703,323922,1004,0.2
2230704,323922,1051,89.2
2230743,323939,1051,89.4
2230742,323939,1004,0.2
2230781,323955,1051,89.7
2230780,323955,1004,0.2
2230810,323969,1051,88.9
2230809,323969,1004,0.1
2230831,323979,1004,0.2
2230832,323979,1051,88.8
2230870,323996,1004,0.2
2230871,323996,1051,88.9
2230898,324009,1004,0.1
2230899,324009,1051,89.1
2230918,324018,1004,0.2
2230919,324018,1051,89.0
2230941,324029,1051,89.1
2230940,324029,1004,0.2
2230978,324038,1051,89.3
2230984,324038,1004,0.19
2230975,324038,1005,6.74
2230974,324038,1003,1.44
2230969,324038,1093,656.0
2231056,324051,1004,29.7
2231057,324051,1051,53.2
2231066,324052,1093,787.0
2231112,324062,1004,25.4
2231113,324062,1051,52.0
2231125,324066,1093,1030.0
2231182,324081,1051,47.6
2231181,324081,1004,28.2
2231202,324086,1093,1010.0
2231207,324090,1004,28.5
2231253,324104,1051,54.2
2231252,324104,1004,28.1
2231273,324109,1093,794.0
2231342,324127,1051,53.9
2231341,324127,1004,28.0
2231354,324131,1093,789.0
2231404,324146,1051,49.3
2231403,324146,1004,32.5
2231432,324153,1093,784.0
2231472,324157,1051,51.7
2231514,324157,1003,13.3
2231464,324157,1004,28.7
2231465,324157,1005,3.37
2231511,324157,1093,866.0
2231574,324163,1093,351.0
2231577,324164,1051,37.7
2231578,324164,1004,15.0
2231583,324168,1093,386.0
2231589,324169,1051,50.5
2231591,324169,1004,15.7
2231596,324175,1093,542.0
2231601,324176,1004,12.8
2231603,324176,1051,43.9
2231620,324184,1093,321.0
2231675,324190,1051,37.5
2231676,324190,1004,15.8
2231694,324202,1093,476.0
2231751,324209,1004,12.6
2231752,324209,1051,44.8
2231765,324220,1093,272.0
2231819,324227,1051,44.0
2231822,324227,1004,14.8
2231847,324240,1093,370.0
2231906,324246,1004,13.7
2231904,324246,1051,44.2
2231918,324257,1093,282.0
2231921,324258,1051,40.5
2231924,324258,1004,15.8
2231928,324264,1004,13.9
2231925,324264,1051,47.8
2231947,324271,1093,259.0
2232006,324283,1093,552.0
2232013,324285,1004,12.6
2232014,324285,1051,46.2
2232094,324304,1093,305.0
2232151,324311,1004,15.4
2232148,324311,1051,40.1
2232241,324317,1003,4.52
2232235,324317,1093,374.0
2232166,324317,1004,14.4
2232167,324317,1005,36.3
2232172,324317,1051,43.4
2232279,324323,1093,712.0
2232284,324324,1051,94.9
2232283,324324,1004,0.24
2232292,324330,1093,748.0
2232297,324331,1051,94.8
2232296,324331,1004,0.36
2232305,324337,1093,680.0
2232309,324338,1004,0.3
2232310,324338,1051,95.0
2232318,324344,1093,627.0
2232325,324347,1051,95.2
2232324,324347,1004,0.4
2232337,324357,1093,1100.0
2232342,324358,1051,93.3
2232341,324358,1004,0.3
2232350,324364,1093,1170.0
2232354,324365,1004,0.24
2232355,324365,1051,93.2
2232379,324374,1093,564.0
2232386,324377,1051,95.2
2232385,324377,1004,0.24
2232421,324392,1093,689.0
2232427,324394,1051,94.1
2232426,324394,1004,0.32
2232446,324406,1093,974.0
2232452,324409,1004,0.2
2232453,324409,1051,94.1
2232465,324419,1093,1050.0
